location,truth_date,year_week,value
EE,2022-12-18,2022-W50,493.612820316423
EE,2022-12-11,2022-W49,377.869124518089
EE,2022-12-04,2022-W48,337.869464940724
EE,2022-11-27,2022-W47,285.955013148824
EE,2022-11-20,2022-W46,255.316976025736
EE,2022-11-13,2022-W45,262.125428719756
EE,2022-11-06,2022-W44,257.870145785993
EE,2022-10-30,2022-W43,249.359579918469
EE,2022-10-23,2022-W42,262.125428719756
EE,2022-10-16,2022-W41,209.359920341103
EE,2022-10-09,2022-W40,254.465919438983
EE,2022-10-02,2022-W39,143.391035789364
EE,2022-09-25,2022-W38,86.2941527601152
EE,2022-09-18,2022-W37,77.2105577327347
EE,2022-09-11,2022-W36,83.6988398951494
EE,2022-09-04,2022-W35,91.484778490047
EE,2022-08-28,2022-W34,94.0800913550128
EE,2022-08-21,2022-W33,94.7289195712543
EE,2022-08-14,2022-W32,100.568373517428
EE,2022-08-07,2022-W31,105.758999247359
EE,2022-07-31,2022-W30,81.752355246425
EE,2022-07-24,2022-W29,77.2105577327347
EE,2022-07-17,2022-W28,80.454698813942
EE,2022-07-10,2022-W27,75.2640730840103
EE,2022-07-03,2022-W26,85.6453245438738
EE,2022-06-26,2022-W25,45.4179751369028
FI,2024-01-14,2024-W02,70.9216628682405
FI,2024-01-07,2024-W01,88.7784090909091
FI,2023-12-31,2023-W52,121.833868539707
FI,2023-12-24,2023-W51,88.7941049294558
FI,2023-12-17,2023-W50,53.601281942743
FI,2023-12-10,2023-W49,25.4401286807963
FI,2023-12-03,2023-W48,12.6598912982261
FI,2023-11-26,2023-W47,7.78228322641049
FI,2023-10-29,2023-W43,3.93767585631421
FI,2023-10-22,2023-W42,3.4137769174370294
FI,2023-10-15,2023-W41,2.14968568524302
FI,2023-10-08,2023-W40,2.08779004368573
FI,2023-09-24,2023-W38,2.25599839208842
FI,2023-09-17,2023-W37,2.20635203369153
FI,2023-09-10,2023-W36,1.66567096557835
FI,2023-09-03,2023-W35,1.37387548291723
FI,2023-08-27,2023-W34,0.985131088110125
FI,2023-08-20,2023-W33,1.08007223523109
FI,2023-08-13,2023-W32,0.9191910429428821
FI,2023-08-06,2023-W31,0.8093672429153911
FI,2023-07-30,2023-W30,0.9999880001439981
FI,2023-07-23,2023-W29,1.14131339660238
FI,2023-07-16,2023-W28,0.9845394488548169
FI,2023-07-09,2023-W27,1.0537753983116
FI,2023-07-02,2023-W26,1.10829500479775
FI,2023-06-25,2023-W25,1.52314757837813
FI,2023-06-18,2023-W24,2.13698044662891
FI,2023-06-11,2023-W23,2.5086806050481494
FI,2023-06-04,2023-W22,2.7793990939159
FI,2023-05-28,2023-W21,3.9354631742014905
FI,2023-05-21,2023-W20,5.15486967495752
FI,2023-05-14,2023-W19,7.726277843573781
FI,2023-05-07,2023-W18,7.23744014636999
FI,2023-04-30,2023-W17,9.63031437569041
FI,2023-04-23,2023-W16,10.5822891972549
FI,2023-04-16,2023-W15,14.1665644184507
FI,2023-04-09,2023-W14,15.9604846984808
FI,2023-04-02,2023-W13,14.3696847899509
FI,2023-03-26,2023-W12,17.1744175224309
FI,2023-03-19,2023-W11,18.4037065782742
FI,2023-03-12,2023-W10,19.1976328484018
FI,2023-03-05,2023-W09,19.468703923618
FI,2023-02-26,2023-W08,24.2105321342303
FI,2023-02-19,2023-W07,27.3988023112695
FI,2023-02-12,2023-W06,28.847460421061495
FI,2023-02-05,2023-W05,34.1616313845407
FI,2023-01-29,2023-W04,39.2569107645283
FI,2023-01-22,2023-W03,46.0114538263062
FI,2023-01-15,2023-W02,66.1668168201707
FI,2023-01-08,2023-W01,107.261683098807
FI,2023-01-01,2022-W52,144.529725959762
FI,2022-12-25,2022-W51,93.6012870573362
FI,2022-12-18,2022-W50,43.4782400506416
FI,2022-12-11,2022-W49,21.9350600361485
FI,2022-12-04,2022-W48,6.18289861062645
FI,2022-11-27,2022-W47,4.10495398761688
FI,2022-11-20,2022-W46,3.99284127923536
FI,2022-11-13,2022-W45,2.40777967777298
FI,2022-11-06,2022-W44,1.46933025631089
FI,2022-10-30,2022-W43,1.87515132195411
FI,2022-10-23,2022-W42,1.56290972112481
FI,2022-10-16,2022-W41,1.20198152117318
FI,2022-10-09,2022-W40,1.25118794855768
FI,2022-10-02,2022-W39,1.99231477347381
FI,2022-09-25,2022-W38,1.62889127676176
FI,2022-09-18,2022-W37,1.23410320805129
FI,2022-09-11,2022-W36,1.48291477637645
FI,2022-09-04,2022-W35,1.35633884961367
FI,2022-08-28,2022-W34,0.8003181264552661
FI,2022-08-21,2022-W33,1.16808368760973
FI,2022-08-14,2022-W32,1.6123198434115
FI,2022-08-07,2022-W31,0.69114590262791
FI,2022-07-31,2022-W30,0.857681796377765
FI,2022-07-24,2022-W29,1.19604725267946
FI,2022-07-17,2022-W28,1.05380675291765
FI,2022-07-10,2022-W27,1.02092843231635
FI,2022-07-03,2022-W26,1.89755939360902
FI,2022-06-26,2022-W25,2.56519625242724
FR,2024-01-14,2024-W02,212.501475472629
FR,2024-01-07,2024-W01,183.325433007452
FR,2023-12-31,2023-W52,175.911136214426
FR,2023-12-24,2023-W51,226.665809708236
FR,2023-12-17,2023-W50,225.471187713605
FR,2023-12-10,2023-W49,224.832735397597
FR,2023-12-03,2023-W48,189.256160996281
FR,2023-11-26,2023-W47,168.999394674064
FR,2023-11-19,2023-W46,127.771222086415
FR,2023-11-12,2023-W45,109.714754437983
FR,2023-11-05,2023-W44,76.1144870864562
FR,2023-10-29,2023-W43,68.5414369419237
FR,2023-10-22,2023-W42,86.6131421157981
FR,2023-10-15,2023-W41,88.9216272202179
FR,2023-10-08,2023-W40,104.977407778153
FR,2023-10-01,2023-W39,109.714754437983
FR,2023-09-24,2023-W38,96.32858833743572
FR,2023-09-17,2023-W37,74.7933936306595
FR,2023-09-10,2023-W36,58.2789635569285
FR,2023-09-03,2023-W35,48.2953368875166
FR,2023-08-27,2023-W34,40.6278140852455
FR,2023-08-20,2023-W33,29.1707187056198
FR,2023-08-13,2023-W32,22.3092609992154
FR,2023-08-06,2023-W31,23.292081390206
FR,2023-04-30,2023-W17,47.2012825608015
FR,2023-04-23,2023-W16,42.6650712368028
FR,2023-04-16,2023-W15,57.0477715012379
FR,2023-04-09,2023-W14,73.2315472728837
FR,2023-04-02,2023-W13,98.8290662624212
FR,2023-03-26,2023-W12,110.852997588479
FR,2023-03-19,2023-W11,113.729842391875
FR,2023-03-12,2023-W10,116.365934293291
FR,2023-03-05,2023-W09,94.5671303963734
FR,2023-02-26,2023-W08,116.400980601807
FR,2023-02-19,2023-W07,136.910689846356
FR,2023-02-12,2023-W06,148.364737720893
FR,2023-02-05,2023-W05,145.471131639512
FR,2023-01-29,2023-W04,114.130589310992
FR,2023-01-22,2023-W03,106.007464498013
FR,2023-01-15,2023-W02,119.248874106864
FR,2023-01-08,2023-W01,185.5519185614
FR,2023-01-01,2022-W52,238.168149371504
