,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
65,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.35,39.22400651662012
66,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.35,38.13893930019994
67,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.35,37.19999593268562
68,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.65,45.44581607806262
69,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.65,47.20611837103519
70,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.65,48.42313296258572
71,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.65,49.39320191558583
72,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.4,41.26731142311343
73,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.4,40.5631713876732
74,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.4,39.86432615658131
75,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.4,39.24565921273378
76,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.6,44.60346302881283
77,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.6,45.86695349998212
78,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.6,46.69774610620435
79,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.6,47.34753863553766
80,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.45,42.10299395962023
81,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.45,41.891731540971286
82,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.45,41.576049840469445
83,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.45,41.27512308210777
84,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.55,43.76778049230604
85,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.55,44.538393346684025
86,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.55,44.98602242231622
87,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.55,45.31807476616368
88,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.5,42.93538722596313
89,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.5,43.215062443827655
90,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.5,43.28103613139283
91,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.5,43.29659892413572
92,2023-12-27,ILI incidence,2023-12-24,1,CZ,median,,42.93538722596313
93,2023-12-27,ILI incidence,2023-12-31,2,CZ,median,,43.215062443827655
94,2023-12-27,ILI incidence,2024-01-07,3,CZ,median,,43.28103613139283
95,2023-12-27,ILI incidence,2024-01-14,4,CZ,median,,43.29659892413572
96,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.01,237.66419857521387
97,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.01,227.6190686698897
98,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.01,216.9193748647857
99,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.01,206.6537065582517
100,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.99,274.8291469072988
101,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.99,294.4391854396359
102,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.99,309.8656404263576
103,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.99,322.4671670394675
104,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.025,238.31800811606945
105,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.025,228.79457494194952
