origin_date,ILI incidence,target_end_date,horizon,location,output_type,output_type_id,value
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.45,0.03
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.5,0.1
2023-12-06,ILI incidence,2023-12-24,2,HR,median,0.5,0.1
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.55,0.19
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.6,0.3
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.65,0.45
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.7,0.64
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.75,0.94
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.8,1.36
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.85,2.03
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.9,3.38
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.95,8.02
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.975,15.09
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.99,37.69
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.01,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.025,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.05,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.1,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.15,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.2,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.25,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.3,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.35,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.4,0.0
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.45,0.01
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.5,0.09
2023-12-06,ILI incidence,2023-12-31,3,HR,median,0.5,0.09
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.55,0.2
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.6,0.35
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.65,0.56
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.7,0.84
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.75,1.23
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.8,1.85
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.85,2.96
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.9,5.3
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.95,13.42
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.975,26.71
2023-12-06,ILI incidence,2023-12-31,3,HR,quantile,0.99,73.94
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.01,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.025,0.0
